identifier,SMILES,test,natoms,MW,logP,QED,SA,NP,TPSA,BertzCT
CNP0532596.0,O=C1OC(C(O)CO)C(O)=C1O,0,12,176.124,-1.4073999999999995,0.3850054008235984,3.678476201937791,2.26305926839985,107.22000000000001,232.19280948873626
CNP0590870.0,C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C(O)CCC=C(C)CCC=C(C)CCC=C(C)C,0,58,785.0419999999998,12.39843999999998,0.08542564562419501,6.447727129748976,0.9134848538894349,152.19,2426.881729122332
CNP0586396.0,CC1=C(CCC(=O)O)c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)c(CCC(=O)O)c4C)C(CCC(=O)O)=C3C,0,48,654.7200000000001,6.557040000000004,0.12398270806875299,5.339775283189633,0.2288677336043583,206.55999999999995,2097.534339941114
CNP0587547.0,C=Cc1ccc(OC(=O)c2ccc(O)c(N=O)c2)cc1,0,20,269.256,3.652300000000002,0.5218315397603666,2.355956729457372,-0.13757973237172003,75.96000000000001,662.0737729942599
CNP0564735.0,O=C1OC(C(O)CO)C(O)=C1O,0,12,176.124,-1.4073999999999995,0.3850054008235984,3.678476201937791,2.26305926839985,107.22000000000001,232.19280948873626
CNP0526158.0,O=S(=O)(O)NC1CCCCC1,0,11,179.24099999999993,0.7114999999999998,0.6134444989856447,2.1522634132203073,-0.4924988231678547,66.4,205.86728533313538
CNP0554301.0,C1CNCCN1,0,6,86.138,-0.8208,0.4022372466625182,2.6979767021323156,0.06186771291683335,24.06,21.019550008653873
CNP0397085.3,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,0,15,208.261,1.1618000000000002,0.7000907484342611,3.6407581528113617,1.2519892576131466,44.12,359.22482416523235
CNP0159564.0,c1ccc2c3ccn4cc5c(cc4c-3nc2c1)CCCC5,0,21,272.351,4.4711000000000025,0.46139506508749856,2.5470260380145877,-0.6317117637703189,17.3,948.5921330539537
CNP0190418.5,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-1,34,499.71400000000034,3.3973000000000013,0.39816166284880605,4.532150120508103,1.7665406550206708,123.93,863.352151298812
CNP0520279.0,NC(C=O)C(O)c1ccc(O)cc1,0,13,181.19099999999997,-0.0482000000000003,0.5707951776927302,3.1773377510492367,1.1625349961737308,83.55000000000001,283.4162177486325
CNP0577456.0,NC(C=O)Cc1c[nH]c2ccccc12,0,14,188.23000000000002,1.2365999999999993,0.7117279592844727,2.7364882719961106,0.24462277630448362,58.88,447.2391868361211
CNP0498385.0,NC(C=O)Cc1c[nH]c2ccccc12,0,14,188.23000000000002,1.2365999999999993,0.7117279592844727,2.7364882719961106,0.24462277630448362,58.88,447.2391868361211
CNP0480539.0,NC(C=O)Cc1c[nH]c2ccccc12,0,14,188.23000000000002,1.2365999999999993,0.7117279592844727,2.7364882719961106,0.24462277630448362,58.88,447.2391868361211
CNP0494844.0,NC(C=O)C(O)c1ccc(O)cc1,0,13,181.19099999999997,-0.0482000000000003,0.5707951776927302,3.1773377510492367,1.1625349961737308,83.55000000000001,283.4162177486325
CNP0502927.0,CC(C)CC(N)C=O,1,8,115.17599999999999,0.5587000000000001,0.5459545391845253,3.3872898627727395,0.7625488520634126,43.09,70.92878689342031
CNP0590688.0,NC(C=O)Cc1c[nH]c2ccccc12,-1,14,188.23000000000002,1.2365999999999993,0.7117279592844727,2.7364882719961106,0.24462277630448362,58.88,447.2391868361211
CNP0551041.0,NC(C=O)C(O)c1ccc(O)cc1,0,13,181.19099999999997,-0.0482000000000003,0.5707951776927302,3.1773377510492367,1.1625349961737308,83.55000000000001,283.4162177486325
CNP0559492.0,NC(C=O)Cc1ccccc1,0,11,149.19299999999998,0.7552999999999994,0.6444527873947915,2.4376790895987206,0.29935245303371816,43.09,220.26415929370796
CNP0606262.0,N=C(N)NCCCC(N)C=O,0,11,158.205,-1.2241299999999995,0.173987421040154,3.473542664511018,0.7742842892092363,104.99000000000001,136.54397280068332
CNP0540734.1,NC(C=O)Cc1ccccc1,0,11,149.19299999999998,0.7552999999999994,0.6444527873947915,2.4376790895987206,0.29935245303371816,43.09,220.26415929370796
CNP0579101.0,CC(C)CC(N)C=O,0,8,115.17599999999999,0.5587000000000001,0.5459545391845253,3.3872898627727395,0.7625488520634126,43.09,70.92878689342031
CNP0519814.0,N=C(N)NCCCC(N)C=O,0,11,158.205,-1.2241299999999995,0.173987421040154,3.473542664511018,0.7742842892092363,104.99000000000001,136.54397280068332
CNP0545581.1,NC(C=O)Cc1ccccc1,-1,11,149.19299999999998,0.7552999999999994,0.6444527873947915,2.4376790895987206,0.29935245303371816,43.09,220.26415929370796
CNP0522807.1,N=C1N[C@H](C(=O)O)[C@@H](C(O)CN)N1,-1,13,188.18699999999998,-2.744629999999999,0.2845215664504005,4.8773359370964116,1.853738477893546,131.46,231.9192538639593
CNP0604269.0,CCCCn1c2c3ccccc3nc-2cc2ccccc21,0,21,274.367,5.094400000000004,0.5082760646775747,2.0580815856927153,-0.6969596460282477,17.82,888.6163808966049
CNP0209872.2,Cn1cncc1C[C@H](NC(=O)CCN)C(=O)O,0,17,240.26299999999995,-1.119199999999998,0.5831186316603704,2.8912071109538946,-0.12860388723250593,110.24,402.010203115145
CNP0261639.0,O=S(=O)(O)NC1CCCCC1,0,11,179.24099999999993,0.7114999999999998,0.6134444989856447,2.1522634132203073,-0.4924988231678547,66.4,205.86728533313538
CNP0231275.3,COc1ccc2cc1Oc1ccc(cc1)CC1=NCCc3cc(OC)c(cc31)Oc1c(OC)c(OC)c(OC)c3c1[C@@H](C2)N(C)CC3,-1,47,636.745,6.987200000000008,0.23211150783913717,5.693675357751042,1.8932395857243065,80.21000000000001,1850.719232150488
CNP0168364.5,C/C=C1/CN2CCC34C(=C(C=O)C1C[C@H]23)Nc1c(O)cccc14,0,23,308.38100000000003,2.5625999999999998,0.4755209175431281,5.562014778980114,2.431336912765965,52.57000000000001,794.5593934615874
CNP0555294.2,O=C1CCCC2C3CC(CN12)[C@@H]1CCCCN1C3,0,18,248.36999999999992,1.8717000000000001,0.6532122014117449,4.359463410228664,0.9323258917248727,23.550000000000004,356.402764296857
CNP0187177.15,C1CCN2CC3CC(CN4CCCC[C@@H]34)[C@H]2C1,0,17,234.38699999999992,2.3451000000000004,0.6346303202150081,4.281317827410866,0.6126331419596176,6.48,262.6464070845272
CNP0524625.1,O=S(=O)(O)O/N=C(/Cc1ccc(O)cc1)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0,27,425.4370000000001,-1.3993,0.13616812970165307,4.225272582495669,1.1177929153847406,186.34,751.6664578057216
CNP0305679.9,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0,23,342.297,-5.397199999999993,0.24325846760776557,4.286380590506912,2.090786843593347,189.52999999999997,380.01843836179484
CNP0588264.0,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,0,19,285.36499999999995,2.1955,0.8330157421148819,1.8544426086828896,-1.3243645714454104,74.68,516.0791280132663
CNP0464298.1,CN(C)C[C@@H]1Oc2ccccc2O[C@@]1(O)c1ccccc1,0,21,285.34299999999996,2.2333,0.9388178134612396,3.2801922808132407,0.47214042148250485,41.93000000000001,614.4421024411184
CNP0555294.3,O=C1CCC[C@@H]2[C@H]3C[C@@H](CN12)[C@@H]1CCCCN1C3,0,18,248.36999999999992,1.8717000000000001,0.6532122014117449,4.359463410228664,0.9323258917248727,23.550000000000004,356.402764296857
CNP0397085.8,CC[C@H]1C(=O)OC[C@@H]1Cc1cncn1C,0,15,208.261,1.1618000000000002,0.7000907484342611,3.6407581528113617,1.2519892576131466,44.12,359.22482416523235
CNP0556227.1,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,0,23,342.297,-5.395599999999993,0.2378914345193498,4.478479999959962,2.142922942325087,189.52999999999997,393.2032272794937
CNP0558467.0,CC(=O)Oc1ccccc1C(=O)O,0,13,180.15899999999996,1.3101,0.5501217966938848,1.580039750008826,0.1217975064999769,63.60000000000001,343.2228677267164
CNP0595285.1,CCN1C[C@@]2(COC(=O)c3ccccc3N3C(=O)C[C@H](C)C3=O)CC[C@H](OC)[C@]34[C@@H]5C[C@H]6[C@@H](O)C[C@@]5([C@H]6OC)[C@@H](O)[C@](O)([C@@H](OC)[C@@H]23)[C@H]14,0,48,668.7840000000004,1.3810000000000018,0.27194330710499615,7.734247411805431,1.9723766392805693,155.3,1539.3449741178688
CNP0488908.0,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,0,22,302.23800000000006,1.987999999999999,0.4641462735466258,2.6126356648790647,1.5977835604635002,131.36,956.2426827834671
CNP0552386.0,COc1cc(O)cc2oc(-c3ccc(O)cc3O)c(O)c(=O)c12,0,23,316.2650000000001,2.2910000000000004,0.5721390849031663,2.5841859268199876,1.6469139869841087,120.36000000000001,972.305186576403
CNP0541762.0,CC(C)c1ccc(C(=O)O)cc1,0,12,164.20399999999998,2.5082000000000004,0.7287360986569997,1.3722449267924546,-0.2732563353829583,37.3,272.39498298772276
